Plot ID,Location,Treatment,Replicate,Date of burial,"Initial weight green tea including bag, cord and label","Initial weight rooibos tea including bag, cord, and label",Initial weight green tea tea only,Initial weight rooibos tea tea only,Recovery date,"Final weight green tea including bag and cord, no label","Final weight rooibos tea including bag and cord, no label",Final weight green tea tea only,Final weight rooibos tea tea only,Fraction decomposed green tea (ag),Prooibosicted labile fraction rooibos tea (ar), Fraction remaining      rooibos tea (Wt),incubation time      rooibos and green tea (t),S,k
22,Elliott.us,K,1,42707,1.972,2.239,1.7222,1.9892,42788,0.94014,1.49641,0.78954,1.34581,0.541551504,0.35503139,0.676558415,81,0.356827193,0.029868787
,,,,,,,,,,,,,,,,,,,
22,Elliott.us,K,2,42707,2.06,2.184,1.8102,1.9342,42788,1.05783,1.4466,0.90723,1.296,0.498823334,0.327019573,0.670044463,81,0.407573237,
,,,,,,,,,,,,,,,,,,,
23,Elliott.us,P,1,42707,2.056,2.227,1.8062,1.9772,42788,0.85386,1.567,0.70326,1.4164,0.610641125,0.400325298,0.716366579,81,0.274773011,0.015219019
,,,,,,,,,,,,,,,,,,,
23,Elliott.us,P,2,42707,2.251,2.168,2.0012,1.9182,42788,0.90284,1.37515,0.75224,1.22455,0.624105537,0.409152323,0.638384944,81,0.258782023,0.026574982
,,,,,,,,,,,,,,,,,,,
24,Elliott.us,N,1,42707,2.052,2.207,1.8022,1.9572,42788,1.03679,1.42158,0.88619,1.27098,0.508273222,0.333214749,0.649386879,81,0.396350093,
,,,,,,,,,,,,,,,,,,,
24,Elliott.us,N,2,42707,2.011,2.15,1.7612,1.9002,42788,1.03371,1.40717,0.88311,1.25657,0.498574835,0.326856662,0.661283023,81,0.407868367,
,,,,,,,,,,,,,,,,,,,
25,Elliott.us,PK,1,42707,2.006,2.187,1.7562,1.9372,42788,0.95746,1.502,0.80686,1.3514,0.540564856,0.354384561,0.69760479,81,0.357998983,
,,,,,,,,,,,,,,,,,,,
25,Elliott.us,PK,2,42707,2.019,2.151,1.7692,1.9012,42788,0.91429,1.47241,0.76369,1.32181,0.568341623,0.372594508,0.695250368,81,0.325009949,
,,,,,,,,,,,,,,,,,,,
26,Elliott.us,NK,1,42707,1.865,2.142,1.6152,1.8922,42788,0.90281,1.3999,0.75221,1.2493,0.534292967,0.350272824,0.660236761,81,0.365447783,
,,,,,,,,,,,,,,,,,,,
26,Elliott.us,NK,2,42707,2.061,,1.8112,,42788,0.97219,,0.82159,,0.546383613,0.358199233,,81,0.351088346,
,,,,,,,,,,,,,,,,,,,
27,Elliott.us,NP,1,42707,2.072,2.186,1.8222,1.9362,42788,1.02962,1.32767,0.87902,1.17707,0.517605093,0.339332555,0.6079279,81,0.385267111,
,,,,,,,,,,,,,,,,,,,
27,Elliott.us,NP,2,42707,1.917,2.192,1.6672,1.9422,42788,0.99692,1.42178,0.84632,1.27118,0.492370441,0.322789173,0.6545052,81,0.415237005,
,,,,,,,,,,,,,,,,,,,
28,Elliott.us,NPK,1,42707,2.017,2.216,1.7672,1.9662,42788,1.28258,1.33163,1.13198,1.18103,0.359449977,0.235648916,0.60066626,81,0.573099789,
,,,,,,,,,,,,,,,,,,,
28,Elliott.us,NPK,2,42707,2.088,2.176,1.8382,1.9262,42788,0.90985,1.29751,0.75925,1.14691,0.58696007,0.384800426,0.595426228,81,0.30289778,
,,,,,,,,,,,,,,,,,,,
29,Elliott.us,Control,1,42707,1.992,2.248,1.7422,1.9982,42788,0.82136,1.23381,0.67076,1.08321,0.614992538,0.403178006,0.542092884,81,0.269605062,
,,,,,,,,,,,,,,,,,,,
29,Elliott.us,Control,2,42707,2.08,2.23,1.8302,1.9802,42788,0.89682,0.97234,0.74622,0.82174,0.592274068,0.388284187,0.414978285,81,0.296586617,
